station_name,wigos_station_identifier,wigos_station_identifier,facility_type,latitude,longitude,elevation,barometer_height,territory_name,WMO Region,Declared reporting status,Assessed reporting status,Last updated by
TESSALA EL MERDJA,0-20000-0-60380,60380,Land (fixed),36.6166666667,2.9166666667,22,,Algeria,1,Operational,Silent,Mohamed Mezred
EL HARRACH,0-20000-0-60381,60381,Land (fixed),36.7166666667,3.15,51,,Algeria,1,Operational,Silent,Mohamed Mezred
DAR-EL-BEIDA,0-20000-0-60390,60390,Land (fixed),36.68993,3.21662,25,,Algeria,1,Operational,Operational,Mohamed Mezred
DAR EL BEIDA VILLE,0-20000-0-60393,60393,Land (fixed),36.7,3.2,30,,Algeria,1,Operational,Silent,Mohamed Mezred
BARAKI,0-20000-0-60394,60394,Land (fixed),36.6833333333,3.1,32,,Algeria,1,Operational,Silent,Mohamed Mezred
TIZI-OUZOU,0-20000-0-60395,60395,Land (fixed),36.72421,4.01861,153,,Algeria,1,Operational,Operational,Mohamed Mezred
BEJAIA-AEROPORT,0-20000-0-60402,60402,Land (fixed),36.7166666667,5.0666666667,1.76,,Algeria,1,Operational,Operational,Abdelhadi HARROUZ
GUELMA,0-20000-0-60403,60403,Land (fixed),36.45641,7.47944,227,,Algeria,1,Operational,Operational,Abdelhadi HARROUZ
TENES,0-20000-0-60410,60410,Land (fixed),36.51415,1.30711,17,,Algeria,1,Operational,Operational,Mohamed Mezred
AIN-BESSAM,0-20000-0-60415,60415,Land (fixed),36.2846,3.68946,748,,Algeria,1,Operational,Operational,Mohamed Mezred
CONSTANTINE,0-20000-0-60419,60419,Land (fixed),36.2778,6.62832,685.2,,Algeria,1,Operational,Operational,Abdelhadi HARROUZ
OUM EL BOUAGHI,0-20000-0-60421,60421,Land (fixed),35.8666666667,7.13027,889,,Algeria,1,Operational,Operational,Mohamed Mezred
SOUK AHRAS,0-20000-0-60423,60423,Land (fixed),36.2975,7.92277,860,,Algeria,1,Operational,Operational,Mohamed Mezred
CHLEF,0-20000-0-60425,60425,Land (fixed),36.21635,1.3217,159,,Algeria,1,Operational,Operational,Abdelhadi HARROUZ
MILIANA,0-20000-0-60430,60430,Land (fixed),36.30582,2.2284,715,,Algeria,1,Operational,Operational,Mohamed Mezred
MEDEA,0-20000-0-60437,60437,Land (fixed),36.2811,2.73155,1030,,Algeria,1,Operational,Operational,Mohamed Mezred
BORDJ-BOU-ARRERIDJ,0-20000-0-60444,60444,Land (fixed),36.06752,4.79452,955,,Algeria,1,Operational,Operational,Madjid Aberkane
SETIF/AIN ARNAT,0-20000-0-60445,60445,Land (fixed),36.1666666667,5.3166666667,1009,,Algeria,1,Operational,Operational,Abdelhadi HARROUZ
ARZEW,0-20000-0-60452,60452,Land (fixed),35.81688,-0.26837,3,,Algeria,1,Operational,Operational,Mohamed Mezred
MOSTAGANEM,0-20000-0-60457,60457,Land (fixed),35.91166,0.11027,137,,Algeria,1,Operational,Operational,Mohamed Mezred
ORAN-PORT,0-20000-0-60461,60461,Land (fixed),35.71055,-0.65305,28,,Algeria,1,Operational,Operational,Madjid Aberkane
M'SILA,0-20000-0-60467,60467,Land (fixed),35.65098,4.49813,441,,Algeria,1,Operational,Operational,Mohamed Mezred
BATNA,0-20000-0-60468,60468,Land (fixed),35.76083,6.31972,821.29,,Algeria,1,Operational,Operational,Abdelhadi HARROUZ
TEBESSA,0-20000-0-60475,60475,Land (fixed),35.42861,8.11527,814,,Algeria,1,Operational,Operational,Abdelhadi HARROUZ
KHENCHELLA,0-20000-0-60476,60476,Land (fixed),35.4666666667,7.0833333333,983,,Algeria,1,Operational,Operational,Mohamed Mezred
ORAN-SENIA,"0-20000-0-60490,0-12-20000-60490",60490,Land (fixed),35.63111,-0.60388,90,,Algeria,1,Operational,Operational,Mohamed Mezred
MASCARA-GHRISS,0-20000-0-60507,60507,Land (fixed),35.20666,0.1525,511,,Algeria,1,Operational,Operational,Abdelhadi HARROUZ
TIARET,0-20000-0-60511,60511,Land (fixed),35.34542,1.46792,977,,Algeria,1,Operational,Operational,Abdelhadi HARROUZ
KSAR CHELLALA,0-20000-0-60514,60514,Land (fixed),35.25222,2.29611,800,,Algeria,1,Operational,Operational,Mohamed Mezred
BOU-SAADA,0-20000-0-60515,60515,Land (fixed),35.3333333333,4.2,459,,Algeria,1,Operational,Operational,Abdelhadi HARROUZ
GHAZAOUET,0-20000-0-60517,60517,Land (fixed),35.09807,-1.86335,20,,Algeria,1,Operational,Partly operational,Mohamed Mezred
BENI-SAF,0-20000-0-60518,60518,Land (fixed),35.30099,-1.39514,68,,Algeria,1,Operational,Operational,Mohamed Mezred
SIDI-BEL-ABBES,0-20000-0-60520,60520,Land (fixed),35.17388,-0.59527,482,,Algeria,1,Operational,Operational,Mohamed Mezred
MAGHNIA,0-20000-0-60522,60522,Land (fixed),34.81143,-1.78242,427,,Algeria,1,Operational,Partly operational,Mohamed Mezred
BISKRA,0-20000-0-60525,60525,Land (fixed),34.8,5.7333333333,82,,Algeria,1,Operational,Operational,Abdelhadi HARROUZ
TLEMCEN-ZENATA,0-20000-0-60531,60531,Land (fixed),35.01888,-1.44472,246.1,,Algeria,1,Operational,Operational,Abdelhadi HARROUZ
DJELFA,0-20000-0-60535,60535,Land (fixed),34.65361,3.28138,1180,,Algeria,1,Operational,Operational,Mohamed Mezred
SAIDA,0-20000-0-60536,60536,Land (fixed),34.89186,0.15774,750,,Algeria,1,Operational,Operational,Mohamed Mezred
EL-KHEITER,0-20000-0-60540,60540,Land (fixed),34.15444,0.06464,1000,,Algeria,1,Operational,Unknown,Abdelhadi HARROUZ
MECHERIA,0-20000-0-60549,60549,Land (fixed),33.54581,-0.23527,1123.2,,Algeria,1,Operational,Partly operational,Abdelhadi HARROUZ
EL-BAYADH,0-20000-0-60550,60550,Land (fixed),33.71966,1.09484,1361,,Algeria,1,Operational,Operational,Abdelhadi HARROUZ
TOUGGOURT,0-20000-0-60555,60555,Land (fixed),33.07011,6.09208,87.1,,Algeria,1,Operational,Operational,Abdelhadi HARROUZ
NAAMA,0-20000-0-60557,60557,Land (fixed),33.26108,-0.31744,1166,,Algeria,1,Operational,Partly operational,Mohamed Mezred
EL-OUED,0-20000-0-60559,60559,Land (fixed),33.50618,6.78841,63,,Algeria,1,Operational,Operational,Abdelhadi HARROUZ
AIN-SEFRA,0-20000-0-60560,60560,Land (fixed),32.75197,-0.59401,1076,,Algeria,1,Operational,Partly operational,Mohamed Mezred
HASSIR'MEL,0-20000-0-60563,60563,Land (fixed),32.93416,3.30333,765,,Algeria,1,Operational,Operational,Madjid Aberkane
GHARDAIA,0-20000-0-60566,60566,Land (fixed),32.38638,3.78361,466,,Algeria,1,Operational,Operational,Abdelhadi HARROUZ
BECHAR,0-20000-0-60571,60571,Land (fixed),31.65428,-2.25236,808.64,,Algeria,1,Operational,Operational,Abdelhadi HARROUZ
OUARGLA,"0-20000-0-60580,0-12-20000-60580",60580,Land (fixed),31.93641,5.41178,143.65,,Algeria,1,Operational,Operational,Abdelhadi HARROUZ
HASSI-MESSAOUD,0-20000-0-60581,60581,Land (fixed),31.65861,6.14138,140,,Algeria,1,Operational,Operational,Abdelhadi HARROUZ
KRECHBA,0-20000-0-60585,60585,Land (fixed),29.07161,2.20815,465.39,,Algeria,1,Operational,Operational,Abdelhadi HARROUZ
EL-GOLEA,0-20000-0-60590,60590,Land (fixed),30.57246,2.86803,397,,Algeria,1,Operational,Operational,Abdelhadi HARROUZ
HASSI KHEBBI,0-20000-0-60593,60593,Land (fixed),29.1666666667,-5.2333333333,565,,Algeria,1,Operational,Silent,
TALMINIE,0-20000-0-60595,60595,Land (fixed),29.1666666667,-0.3,,,Algeria,1,Silent,Silent,Mohamed Mezred
BENI-ABBES,0-20000-0-60602,60602,Land (fixed),30.12846,-2.14953,510,,Algeria,1,Operational,Partly operational,Madjid Aberkane
RHOURD NOUSS,0-20000-0-60603,60603,Land (fixed),29.7352,6.71306,252,,Algeria,1,Operational,Partly operational,Mohamed Mezred
TABELBALA,0-20000-0-60605,60605,Land (fixed),29.4166666667,-3.25,550,,Algeria,1,Operational,Silent,Mohamed Mezred
TIMIMOUN,0-20000-0-60607,60607,Land (fixed),29.24412,0.28385,312,,Algeria,1,Operational,Operational,Abdelhadi HARROUZ
IN-AMENAS,0-20000-0-60611,60611,Land (fixed),28.05294,9.63959,561,,Algeria,1,Operational,Operational,Abdelhadi HARROUZ
TIRIRINE,0-20000-0-60612,60612,Land (fixed),22.05,8.5833333333,770,,Algeria,1,Silent,Operational,Mohamed Mezred
OUHANET,0-20000-0-60613,60613,Land (fixed),28.7,8.9333333333,610,,Algeria,1,Operational,Silent,
TAMAZGUIDA,0-20000-0-60617,60617,Land (fixed),27.3166666667,3.7166666667,354,,Algeria,1,Closed,Unknown,Mohamed Mezred
TAGUENTOUR,0-20000-0-60619,60619,Land (fixed),28.4666666667,2.5166666667,636,,Algeria,1,Operational,Partly operational,Mohamed Mezred
ADRAR,0-20000-0-60620,60620,Land (fixed),27.83718,-0.19364,279.23,,Algeria,1,Operational,Operational,Abdelhadi HARROUZ
MATRIOUENE,0-20000-0-60621,60621,Land (fixed),27.8666666667,1.1666666667,390,,Algeria,1,Operational,Partly operational,Mohamed Mezred
ADEB LERRACH,0-20000-0-60623,60623,Land (fixed),27.4,8.8333333333,521,,Algeria,1,Operational,Silent,Mohamed Mezred
GARADJEBILET,0-20000-0-60624,60624,Land (fixed),26.75,-7.25,400,,Algeria,1,Operational,Silent,
IN-SALAH,0-20000-0-60630,60630,Land (fixed),27.2537,2.51164,268,,Algeria,1,Operational,Operational,Mohamed Mezred
IN ZIZA,0-20000-0-60633,60633,Land (fixed),23.2166666667,2.5833333333,443,,Algeria,1,Closed,Unknown,Mohamed Mezred
TINFOUYE,0-20000-0-60639,60639,Land (fixed),28.43679,7.55148,472,,Algeria,1,Operational,Operational,Madjid Aberkane
ILLIZI,0-20000-0-60640,60640,Land (fixed),26.71916,8.61722,542,,Algeria,1,Operational,Operational,Abdelhadi HARROUZ
REGGANE,0-20000-0-60645,60645,Land (fixed),26.7166666667,-0.1833333333,214,,Algeria,1,Operational,Silent,Mohamed Mezred
AMGUID,0-20000-0-60650,60650,Land (fixed),26.4166666667,5.3666666667,614,,Algeria,1,Silent,Operational,Mohamed Mezred
TINDOUF,0-20000-0-60656,60656,Land (fixed),27.7041,-8.1692,443,,Algeria,1,Operational,Operational,Abdelhadi HARROUZ
ARAK (60660-0),0-20000-0-60660,60660,Land (fixed),25.2666666667,3.7333333333,556,,Algeria,1,Operational,Silent,
ABDENNIZI,0-20000-0-60661,60661,Land (fixed),25.2166666667,5.1166666667,800,,Algeria,1,Silent,Silent,Mohamed Mezred
FADNOUNE,0-20000-0-60662,60662,Land (fixed),25.8166666667,8.1833333333,1291,,Algeria,1,Operational,Partly operational,Mohamed Mezred
MOULAY LAHCEN,0-20000-0-60663,60663,Land (fixed),24.7166666667,4.65,1054,,Algeria,1,Operational,Partly operational,Mohamed Mezred
BORDJ HAOUS,0-20000-0-60664,60664,Land (fixed),24.8333333333,8.3166666667,1104,,Algeria,1,Operational,Silent,Mohamed Mezred
TINALKOUN,0-20000-0-60667,60667,Land (fixed),24.6,10.2166666667,719,,Algeria,1,Silent,Operational,Mohamed Mezred
DJANET,0-20000-0-60670,60670,Land (fixed),24.28823,9.46766,968,,Algeria,1,Operational,Operational,Abdelhadi HARROUZ
MERTOUTEK,0-20000-0-60672,60672,Land (fixed),24.2166666667,5.5333333333,1343,,Algeria,1,Operational,Operational,Mohamed Mezred
TADANTE,0-20000-0-60673,60673,Land (fixed),23.0333333333,7.8666666667,1179,,Algeria,1,Silent,Silent,Mohamed Mezred
TAOUNDART,0-20000-0-60674,60674,Land (fixed),20.3833333333,2.4666666667,677,,Algeria,1,Closed,Unknown,Mohamed Mezred
OUALLEN,0-20000-0-60675,60675,Land (fixed),23.4,1,358,,Algeria,1,Operational,Silent,Mohamed Mezred
IN AZZANE,0-20000-0-60676,60676,Land (fixed),23.4833333333,11.2333333333,912,,Algeria,1,Operational,Silent,
AFARA,0-20000-0-60677,60677,Land (fixed),25.3333333333,7.8,1240,,Algeria,1,Operational,Partly operational,
ASSEKREM,0-20000-0-60679,60679,Land (fixed),23.26116,5.63115,2710,,Algeria,1,Operational,Partly operational,Mohamed Mezred
TAMANRASSET,0-20000-0-60680,60680,Land (fixed),22.8253,5.45255,1372,,Algeria,1,Operational,Operational,Abdelhadi HARROUZ
OUED TAHAGGARET,0-20000-0-60681,60681,Land (fixed),21.6833333333,7.1333333333,573,,Algeria,1,Closed,Unknown,Mohamed Mezred
TINTARABINE,0-20000-0-60682,60682,Land (fixed),23.1833333333,6.7666666667,1105,,Algeria,1,Silent,Silent,Mohamed Mezred
BIDON 5,0-20000-0-60685,60685,Land (fixed),22.3166666667,1.1166666667,392,,Algeria,1,Silent,Operational,Mohamed Mezred
BORDJ-BADJ-MOKHTAR,0-20000-0-60686,60686,Land (fixed),21.37609,0.93205,395,,Algeria,1,Operational,Operational,Abdelhadi HARROUZ
TIREK,0-20000-0-60688,60688,Land (fixed),21.5666666667,2.5833333333,561,,Algeria,1,Closed,Unknown,Mohamed Mezred
TIMIAOUINI,0-20000-0-60689,60689,Land (fixed),20.4166666667,1.8,685,,Algeria,1,Operational,Silent,Mohamed Mezred
IN-GUEZZAM,0-20000-0-60690,60690,Land (fixed),19.5655,5.75412,400,,Algeria,1,Operational,Operational,Abdelhadi HARROUZ
ANESBARAKA,0-20000-0-60691,60691,Land (fixed),19.4333333333,4.65,477,,Algeria,1,Silent,Operational,Mohamed Mezred
IN GUEZZAM,0-20000-0-60692,60692,Land (fixed),19.5666666667,5.75,401,,Algeria,1,Operational,Partly operational,Madjid Aberkane
IN ATEI,0-20000-0-60693,60693,Land (fixed),20.5666666667,6.1166666667,471,,Algeria,1,Operational,Silent,Mohamed Mezred
IN AZAOUA,0-20000-0-60694,60694,Land (fixed),20.9666666667,7.45,517,,Algeria,1,Silent,Operational,Mohamed Mezred
TIN ZAOUATENE,0-20000-0-60695,60695,Land (fixed),19.9666666667,2.9833333333,,,Algeria,1,Silent,Silent,Mohamed Mezred
BIHAC,0-20000-0-14528,14528,Land (fixed),44.807677,15.866654,244,,Bosnia and Herzegovina,6,Operational,Operational,Mirza Tahmaz
SANSKI MOST,0-20000-0-14537,14537,Land (fixed),44.77095,16.676019,156,,Bosnia and Herzegovina,6,Operational,Partly operational,Mirza Tahmaz
LIVNO,0-20000-0-14640,14640,Land (fixed),43.822593,17.001041,722,,Bosnia and Herzegovina,6,Operational,Partly operational,Mirza Tahmaz
NOVI GRAD SYNOP,0-70-0-14535,14535,Land (fixed),45.05042,16.37733,122,,Bosnia and Herzegovina,6,Operational,Partly operational,Zeljko Ratkovic
PRIJEDOR,0-70-0-14536,14536,Land (fixed),44.97193,16.71257,133,,Bosnia and Herzegovina,6,Operational,Partly operational,Zeljko Ratkovic
Mrkonjic Grad synop,0-70-0-14545,14545,Land (fixed),44.41113,17.08355,570,,Bosnia and Herzegovina,6,Operational,Partly operational,Zeljko Ratkovic
Goli Vrh,0-191-0-14238,14238,Land (fixed),45.6975,15.724444,166,,Croatia,6,Operational,Silent,HRV NMHS
Monte Kope,0-191-0-14309,14309,Land (fixed),44.812222,13.8725,48,,Croatia,6,Operational,Unknown,Ines SRZIC
Prijeboj,0-191-0-14335,14335,Land (fixed),44.831667,15.664444,704,,Croatia,6,Operational,Silent,Ines SRZIC
RIJEKA/KOZALA,0-20000-0-14216,14216,Land (fixed),45.3369444444,14.4427777778,120,,Croatia,6,Operational,Operational,
PARG,0-20000-0-14219,14219,Land (fixed),45.5936111111,14.6305555556,863,,Croatia,6,Operational,Operational,
KARLOVAC,0-20000-0-14232,14232,Land (fixed),45.4936111111,15.565,110,,Croatia,6,Operational,Operational,
KRAPINA,0-20000-0-14234,14234,Land (fixed),46.1377777778,15.8883333333,202,,Croatia,6,Operational,Partly operational,
PUNTIJARKA,0-20000-0-14235,14235,Land (fixed),45.9075,15.9683333333,991,,Croatia,6,Operational,Partly operational,
ZAGREB/GRIC,0-20000-0-14236,14236,Land (fixed),45.8144444444,15.9719444444,157,,Croatia,6,Operational,Partly operational,Nina Horat
ZAGREB/MAKSIMIR,0-20000-0-14240,14240,Land (fixed),45.8219444444,16.0336111111,123,,Croatia,6,Operational,Partly operational,Ines SRZIC
ZAGREB/PLESO,0-20000-0-14241,14241,Land (fixed),45.7291666667,16.0538888889,107,,Croatia,6,Operational,Partly operational,
SISAK,0-20000-0-14244,14244,Land (fixed),45.4997222222,16.3666666667,98,,Croatia,6,Operational,Operational,
VARAZDIN,0-20000-0-14246,14246,Land (fixed),46.2827777778,16.3638888889,167,,Croatia,6,Operational,Operational,
KRIZEVCI,0-20000-0-14248,14248,Land (fixed),46.0288888889,16.5536111111,157,,Croatia,6,Operational,Operational,
BJELOVAR,0-20000-0-14253,14253,Land (fixed),45.9097222222,16.8694444444,141,,Croatia,6,Operational,Operational,
BILOGORA,0-20000-0-14256,14256,Land (fixed),45.8836111111,17.2002777778,262,,Croatia,6,Operational,Partly operational,
DARUVAR,0-20000-0-14258,14258,Land (fixed),45.5913888889,17.21,153,,Croatia,6,Operational,Partly operational,
PULA AERODROME,0-20000-0-14307,14307,Land (fixed),44.8963888889,13.9319444444,63,,Croatia,6,Operational,Partly operational,
PAZIN,0-20000-0-14308,14308,Land (fixed),45.2408333333,13.9452777778,291,,Croatia,6,Operational,Operational,
MALI LOSINJ,0-20000-0-14314,14314,Land (fixed),44.5325,14.4719444444,53,,Croatia,6,Operational,Partly operational,
RIJEKA/OMISALJ,0-20000-0-14317,14317,Land (fixed),45.2238888889,14.5819444444,85,,Croatia,6,Operational,Operational,
RAB,0-20000-0-14321,14321,Land (fixed),44.7555555556,14.7694444444,24,,Croatia,6,Operational,Operational,
SENJ,0-20000-0-14323,14323,Land (fixed),44.9925,14.9033333333,26,,Croatia,6,Operational,Operational,
ZAVIZAN,0-20000-0-14324,14324,Land (fixed),44.8147222222,14.9752777778,1594,,Croatia,6,Operational,Operational,
OGULIN,0-20000-0-14328,14328,Land (fixed),45.2627777778,15.2222222222,328,,Croatia,6,Operational,Operational,
GOSPIC,0-20000-0-14330,14330,Land (fixed),44.5505555556,15.3730555556,564,,Croatia,6,Operational,Operational,Ines SRZIC
ZADAR/PUNTAMIKA,0-20000-0-14428,14428,Land (fixed),44.13,15.2058333333,5,,Croatia,6,Operational,Operational,
ZADAR RS,0-20000-0-14430,14430,Land (fixed),44.0969444444,15.3402777778,78,,Croatia,6,Operational,Partly operational,
ZADAR/ZEMUNIK,0-20000-0-14431,14431,Land (fixed),44.0969444444,15.3627777778,82,,Croatia,6,Operational,Partly operational,
SIBENIK,0-20000-0-14438,14438,Land (fixed),43.7280555556,15.9063888889,77,,Croatia,6,Operational,Operational,
KOMIZA,0-20000-0-14441,14441,Land (fixed),43.0483333333,16.0852777778,20,,Croatia,6,Operational,Partly operational,
KNIN,0-20000-0-14442,14442,Land (fixed),44.0408333333,16.2069444444,255,,Croatia,6,Operational,Operational,
PALAGRUZA,0-20000-0-14443,14443,Land (fixed),42.3922222222,16.2430555556,97,,Croatia,6,Operational,Partly operational,
SPLIT/RESNIK,0-20000-0-14444,14444,Land (fixed),43.5394444444,16.3011111111,19,,Croatia,6,Operational,Partly operational,
SPLIT/MARJAN,0-20000-0-14445,14445,Land (fixed),43.5083333333,16.4263888889,122,,Croatia,6,Operational,Partly operational,Jörg Klausen
HVAR,0-20000-0-14447,14447,Land (fixed),43.1711111111,16.4369444444,20,,Croatia,6,Operational,Operational,
LASTOVO,0-20000-0-14452,14452,Land (fixed),42.7683333333,16.9,186,,Croatia,6,Operational,Partly operational,
MAKARSKA,0-20000-0-14454,14454,Land (fixed),43.2875,17.0197222222,49,,Croatia,6,Operational,Partly operational,
POINTE DE CHASSIRON,0-20000-0-07314,07314,Land (fixed),46.0469444444,-1.4116666667,11,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
LA ROCHELLE AEROPORT ILE DE RE,0-20000-0-07316,07316,Land (fixed),46.1780555556,-1.1930555556,23,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
NIORT,0-20000-0-07330,07330,Land (fixed),46.3155555556,-0.4002777778,61,,France,6,Operational,Partly operational,"FRA,NCL,PYF,SPM NMHS"
GUERET ST LAURENT,0-20000-0-07361,07361,Land (fixed),46.1755555556,1.9502777778,365,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
VICHY-CHARMEIL,0-20000-0-07374,07374,Land (fixed),46.1666666667,3.3986111111,249,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
SAINT-YAN,0-20000-0-07379,07379,Land (fixed),46.4083333333,4.0163888889,243,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
SAINT NIZIER-RADAR,0-20000-0-07381,07381,Land (fixed),46.0677777778,4.4452777778,908,,France,6,Operational,Unknown,
MACON,0-20000-0-07385,07385,Land (fixed),46.2966666667,4.7986111111,222,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
COGNAC,0-20000-0-07412,07412,Land (fixed),45.665,-0.3158333333,31,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
LIMOGES-BELLEGARDE,0-20000-0-07434,07434,Land (fixed),45.861167,1.175,402,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
GREZES-RADAR,0-20000-0-07436,07436,Land (fixed),45.1044444444,1.3697222222,351,,France,6,Operational,Unknown,
BRIVE,0-20000-0-07438,07438,Land (fixed),45.1480555556,1.4744444444,112,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
BRIVE SOUILLAC,0-20000-0-07439,07439,Land (fixed),45.036333,1.491667,295,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
CLERMONT-FERRAND,0-20000-0-07460,07460,Land (fixed),45.7869444444,3.1494444444,333,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
SEMBADEL-RADAR,0-20000-0-07461,07461,Land (fixed),45.2891666667,3.7094444444,1115,,France,6,Operational,Unknown,
MOUCHEROTTE RADAR,0-20000-0-07468,07468,Land (fixed),45.1477777778,5.6394444444,1895,,France,6,Operational,Unknown,
LE PUY-LOUDES,0-20000-0-07471,07471,Land (fixed),45.0744444444,3.7638888889,832,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
ST-ETIENNE BOUTHEON,0-20000-0-07475,07475,Land (fixed),45.5330555556,4.2933333333,404,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
LYON-BRON,0-20000-0-07480,07480,Land (fixed),45.7261111111,4.9377777778,201,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
LYON-ST EXUPERY,0-20000-0-07481,07481,Land (fixed),45.7263888889,5.0777777778,250,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
AMBERIEU,0-20000-0-07482,07482,Land (fixed),45.9763888889,5.3294444444,251,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
GRENOBLE-ST-GEOIRS,0-20000-0-07486,07486,Land (fixed),45.3638888889,5.3133333333,397,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
ANNECY-MEYTHET,0-20000-0-07490,07490,Land (fixed),45.928167,6.094,455,,France,6,Operational,Operational,Léa LABEUR
CHAMBERY-AIX-LES-BAINS,0-20000-0-07491,07491,Land (fixed),45.6413888889,5.8780555556,237,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
BOURG ST-MAURICE,0-20000-0-07497,07497,Land (fixed),45.6127777778,6.7633333333,865,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
LEGE-CAP FERRET,0-20000-0-07500,07500,Land (fixed),44.6316666667,-1.2483333333,9,,France,6,Operational,Operational,Joel GUEUSQUIN
CAZAUX,0-20000-0-07502,07502,Land (fixed),44.534667,-1.132,23,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
BISCAROSSE,0-20000-0-07503,07503,Land (fixed),44.4316666667,-1.2475,35,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
BORDEAUX MERIGNAC,0-20000-0-07510,07510,Land (fixed),44.8305555556,-0.6913888889,51,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
AGEN,0-20000-0-07524,07524,Land (fixed),44.1722222222,0.5947222222,62,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
BERGERAC,0-20000-0-07530,07530,Land (fixed),44.8230555556,0.5241666667,52,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
GOURDON,0-20000-0-07535,07535,Land (fixed),44.745,1.3966666667,260,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
MONTAUBAN,0-20000-0-07540,07540,Land (fixed),44.0280555556,1.3766666667,108,,France,6,Operational,Operational,"FRA,NCL,PYF,SPM NMHS"
